AreaID,TreatmentID,score_all,score_area,diff_all_area,better_all_area,score_groupA,diff_all_groupA,better_all_groupA,score_groupB,diff_all_groupB,diff_groupA_groupB,better_all_groupB,better_groupA_groupB
182,6,76.65337617,79.8563908,-2.428738124,1,82.7353089,-5.307656178,1,71.2248883,6.202764397,11.51042058,0,0
182,7,3.154807062,3.605462,-0.418788191,1,3.9426364,-0.755962668,1,2.2630732,0.923600518,1.679563187,0,0
182,8,1.276312554,1.1330323,0.156172296,0,1.2019121,0.087292528,0,0.9630011,0.326203489,0.238910961,0,0
183,1,88.32738945,92.2839339,-3.064348647,1,92.2591108,-3.039525493,1,92.6123521,-3.392766827,-0.353241334,1,1
183,2,41.07998525,41.8118337,-0.316899055,1,41.7616331,-0.266698493,1,42.3302138,-0.835279145,-0.568580652,1,1
183,3,70.83398114,70.8963776,0.653098336,0,71.1086671,0.440808819,0,67.9256202,3.623855676,3.183046857,0,0
183,4,90.06502973,91.7659467,-0.791169143,1,91.737001,-0.762223439,1,92.1286364,-1.1538589,-0.391635461,1,1
183,5,73.12702251,67.4411258,6.424553482,0,67.5735818,6.292097515,0,65.5770359,8.288643358,1.996545843,0,0
183,6,76.65337617,83.8337167,-6.406063981,1,84.0461027,-6.618449999,1,80.6237102,-3.196057473,3.422392525,1,0
183,7,3.154807062,2.9442954,0.242378345,0,3.1158729,0.070800843,0,1.2139108,1.972762996,1.901962154,0,0
183,8,1.276312554,1.1532096,0.135994976,0,1.2283726,0.060832013,0,0.6405124,0.648692169,0.587860157,0,0
184,1,88.32738945,90.4375445,-1.217959199,1,90.9454988,-1.72591353,1,89.0473873,0.172198002,1.898111532,0,0
184,2,41.07998525,46.6730618,-5.178127201,1,47.3888104,-5.893875763,1,45.5575229,-4.062588265,1.831287498,1,0
184,3,70.83398114,75.4619871,-3.912511188,1,77.8118598,-6.262383841,1,69.0085535,2.540922367,8.803306208,0,0
184,4,90.06502973,88.6712007,2.303576891,0,88.6337188,2.34105872,0,88.775279,2.199498529,-0.141560191,0,1
